matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
5-scale full normalized objective,5,lunar_ice_sp50_005_005_seed679011,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.155459,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1202.786599,40.265606886,1049.279719233,960.0,False,1062.776221,33.826583,1132.638348,686.383845,1549.658143,0.883594997,0.840086258,1.079443667,0.714983172,2.155459,2.155459,False,2.155459,True,True,0.0,True,3,21,True,True,0,0.019194,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_007_seed679013,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.140463,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1333.979087,48.336799552,1265.570346981,960.0,False,1140.865043,41.601061,1343.334187,770.97799,1719.799779,0.855234579,0.860649886,1.061445687,0.803102073,2.140463,2.140463,False,,False,,,,0,0,,,0,0.007708,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_007_seed679013,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.140463,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1333.979087,48.336799552,1265.570346981,960.0,False,1140.865043,41.601061,1343.334187,770.97799,1719.799779,0.855234579,0.860649886,1.061445687,0.803102073,2.140463,2.140463,False,2.140463,True,True,0.0,True,1,0,True,True,0,0.016912,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_007_seed679013,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.140463,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1333.979087,48.336799552,1265.570346981,960.0,False,1140.865043,41.601061,1343.334187,770.97799,1719.799779,0.855234579,0.860649886,1.061445687,0.803102073,2.140463,2.140463,False,2.140463,True,True,0.0,True,3,12,True,True,0,0.016781,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_008_seed679014,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.100262,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1419.086468,47.876227855,1438.87651374,960.0,False,1183.208159,40.364345,1522.988579,755.306317,1832.767936,0.833781581,0.843097855,1.058456764,0.786777414,2.100262,2.100262,False,,False,,,,0,0,,,0,0.017806,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_008_seed679014,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.100262,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1419.086468,47.876227855,1438.87651374,960.0,False,1183.208159,40.364345,1522.988579,755.306317,1832.767936,0.833781581,0.843097855,1.058456764,0.786777414,2.100262,2.100262,False,2.100262,True,True,0.0,True,1,0,True,True,0,0.034364,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_008_seed679014,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.100262,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1419.086468,47.876227855,1438.87651374,960.0,False,1183.208159,40.364345,1522.988579,755.306317,1832.767936,0.833781581,0.843097855,1.058456764,0.786777414,2.100262,2.100262,False,2.100262,True,True,0.0,True,4,15,True,True,0,0.035771,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_009_seed679015,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.096863,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1341.626386,44.644753897,1370.857981598,960.0,False,1131.284704,37.02373,1454.301551,851.590374,1750.029054,0.843218884,0.829296317,1.060869594,0.887073306,2.096863,2.096863,False,,False,,,,0,0,,,0,0.007989,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_009_seed679015,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.096863,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1341.626386,44.644753897,1370.857981598,960.0,False,1131.284704,37.02373,1454.301551,851.590374,1750.029054,0.843218884,0.829296317,1.060869594,0.887073306,2.096863,2.096863,False,2.096863,True,True,0.0,True,1,0,True,True,0,0.016876,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_009_seed679015,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.096863,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1341.626386,44.644753897,1370.857981598,960.0,False,1131.284704,37.02373,1454.301551,851.590374,1750.029054,0.843218884,0.829296317,1.060869594,0.887073306,2.096863,2.096863,False,2.096863,True,True,0.0,True,4,19,True,True,0,0.018425,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_010_seed679016,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.204695,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1118.676065,40.826546388,1182.201927245,960.0,False,966.565595,36.849574,1294.749056,630.029506,1521.314791,0.864026348,0.902588567,1.095201273,0.656280735,2.204695,2.204695,False,,False,,,,0,0,,,0,0.014396,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_010_seed679016,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.204695,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1118.676065,40.826546388,1182.201927245,960.0,False,966.565595,36.849574,1294.749056,630.029506,1521.314791,0.864026348,0.902588567,1.095201273,0.656280735,2.204695,2.204695,False,2.204695,True,True,0.0,True,1,0,True,True,0,0.029679,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_010_seed679016,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.204695,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1118.676065,40.826546388,1182.201927245,960.0,False,966.565595,36.849574,1294.749056,630.029506,1521.314791,0.864026348,0.902588567,1.095201273,0.656280735,2.204695,2.204695,False,2.204695,True,True,0.0,True,3,15,True,True,0,0.029574,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_011_seed679017,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.087922,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1258.588425,45.038558922,1285.438416574,960.0,False,1048.257026,37.20217,1378.733287,727.580691,1636.952511,0.832883098,0.826007112,1.07257825,0.757896553,2.087922,2.087922,False,,False,,,,0,0,,,0,0.009401,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_011_seed679017,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.087922,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1258.588425,45.038558922,1285.438416574,960.0,False,1048.257026,37.20217,1378.733287,727.580691,1636.952511,0.832883098,0.826007112,1.07257825,0.757896553,2.087922,2.087922,False,2.087922,True,True,0.0,True,1,0,True,True,0,0.020006,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_011_seed679017,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.087922,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1258.588425,45.038558922,1285.438416574,960.0,False,1048.257026,37.20217,1378.733287,727.580691,1636.952511,0.832883098,0.826007112,1.07257825,0.757896553,2.087922,2.087922,False,2.087922,True,True,0.0,True,3,15,True,True,0,0.020414,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_012_seed679018,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.195034,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1066.708433,34.974102965,1296.691293834,960.0,False,943.606952,30.921202,1382.015148,739.496604,1527.334213,0.88459688,0.884117086,1.065801208,0.770308963,2.195034,2.195034,False,,False,,,,0,0,,,0,0.01724,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_012_seed679018,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.195034,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1066.708433,34.974102965,1296.691293834,960.0,False,943.606952,30.921202,1382.015148,739.496604,1527.334213,0.88459688,0.884117086,1.065801208,0.770308963,2.195034,2.195034,False,2.195034,True,True,0.0,True,1,0,True,True,0,0.037019,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_012_seed679018,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.195034,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1066.708433,34.974102965,1296.691293834,960.0,False,943.606952,30.921202,1382.015148,739.496604,1527.334213,0.88459688,0.884117086,1.065801208,0.770308963,2.195034,2.195034,False,2.195034,True,True,0.0,True,3,16,True,True,0,0.036695,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_013_seed679019,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.231707,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1208.171706,46.968648286,1440.759942321,960.0,False,1124.14196,41.37047,1514.410933,781.712279,1771.276803,0.930448838,0.880810317,1.051119544,0.814283624,2.231707,2.231707,False,,False,,,,0,0,,,0,0.00861,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_013_seed679019,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.231707,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1208.171706,46.968648286,1440.759942321,960.0,False,1124.14196,41.37047,1514.410933,781.712279,1771.276803,0.930448838,0.880810317,1.051119544,0.814283624,2.231707,2.231707,False,2.231707,True,True,0.0,True,1,0,True,True,0,0.01782,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full normalized objective,5,lunar_ice_sp50_005_013_seed679019,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.231707,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1208.171706,46.968648286,1440.759942321,960.0,False,1124.14196,41.37047,1514.410933,781.712279,1771.276803,0.930448838,0.880810317,1.051119544,0.814283624,2.231707,2.231707,False,2.231707,True,True,0.0,True,3,19,True,True,0,0.018878,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full normalized objective,5,lunar_ice_sp50_005_014_seed679020,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.117254,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1285.947064,40.721750296,1411.067121789,960.0,False,1058.99504,34.883467,1541.979742,843.346929,1710.670404,0.823513712,0.856629854,1.092775615,0.878486384,2.117254,2.117254,False,,False,,,,0,0,,,0,0.016308,,,,False,,,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_014_seed679020,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.117254,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1285.947064,40.721750296,1411.067121789,960.0,False,1058.99504,34.883467,1541.979742,843.346929,1710.670404,0.823513712,0.856629854,1.092775615,0.878486384,2.117254,2.117254,False,2.117254,True,True,0.0,True,1,0,True,True,0,0.033536,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,31,31,True
