matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason
20-scale fail-closed guard,20,lunar_ice_sp50_020_002_seed829002,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.014601,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_002_seed829002,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008059,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_002_seed829002,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007738,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_003_seed829003,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.016916,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_003_seed829003,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007161,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_003_seed829003,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007613,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_003_seed829003,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007557,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_004_seed829004,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.016998,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_004_seed829004,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008386,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_004_seed829004,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007782,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_004_seed829004,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008785,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_005_seed829005,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.017308,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_005_seed829005,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008732,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_005_seed829005,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008453,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_005_seed829005,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009195,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_006_seed829006,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.01671,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_006_seed829006,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007237,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_006_seed829006,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007928,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_006_seed829006,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007729,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_007_seed829027,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.01614,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_007_seed829027,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007721,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_007_seed829027,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007365,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_007_seed829027,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009293,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_008_seed829008,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.016052,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_008_seed829008,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008012,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_008_seed829008,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008257,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_008_seed829008,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.0087,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_009_seed829009,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.017631,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_009_seed829009,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007293,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_009_seed829009,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009275,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_009_seed829009,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008428,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_010_seed829010,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.022737,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_010_seed829010,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008372,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_010_seed829010,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008006,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_010_seed829010,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009587,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_011_seed829011,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.014724,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_011_seed829011,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007794,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_011_seed829011,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009385,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_011_seed829011,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008558,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_012_seed829012,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.016966,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_012_seed829012,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008813,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_012_seed829012,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008528,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_012_seed829012,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.007997,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_013_seed829013,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.017399,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_013_seed829013,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007729,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_013_seed829013,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.00766,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_013_seed829013,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.010044,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_014_seed829014,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.018978,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_014_seed829014,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.00717,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_014_seed829014,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.009518,task_count=20 exceeds B2 max_direct_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_014_seed829014,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008817,task_count=20 exceeds max_direct_tasks=10; B3 fails closed.
20-scale fail-closed guard,20,lunar_ice_sp50_020_015_seed829015,B0_pure_direct_dp,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.019517,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_015_seed829015,B2_PRODUCT_EXACT_SOLVER,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,NOT_PRICED,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.008468,task_count=20 exceeds max_exact_tasks=10
20-scale fail-closed guard,20,lunar_ice_sp50_020_015_seed829015,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,False,False,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.008829,task_count=20 exceeds B2 max_direct_tasks=10
